companyName,arr,country,domain,growthRate,headquarters,numberOfLocations,source,teamSize,website,year
Total Shipping & Logistics,5000,India,Logistics & Transportation,High,"Mumbai, Maharashtra, India",2,Ambition box,500,https://www.totalgroup.in,1984
Connect India E Commerce Services,868,India,Logistics & Transportation,High,"Bangalore & New?Delhi, India",5,Ambition box,500,https://connectindia.com ,2014
Dachser,74100,India,Logistics & Transportation,High,"Kempten, Germany",3,Ambition box,34000,https://www.dachser.com ,1930
APL Logistics,133600,India,Logistics & Transportation,Medium,Mumbai,230,Ambition box,15000,https://www.apllogistics.com ,1980
SHREE VASU LOGISTICS,1461,India,Logistics & Transportation,High,"Raipur, Chhattisgarh, India",6,Ambition box,5000,https://www.shreevasulogistics.com,1987
Seashell Logistics,5410,India,Logistics & Transportation,High,Navi Mumbai,4,Ambition box,15000,https://www.seashellgroup.in/ ,2005
Ritco Logistics,2520,India,Logistics & Transportation,Low,"Gurugram, Haryana (India)",300,Ambition box,1000,https://www.ritcologistics.com,1996
Shree Shubham Logistics,2000,India,Logistics & Transportation,High,"Jaipur, India",20,Ambition box,1000,www.ssll.in,2007
Geodis Overseas,0,India,Logistics & Transportation,High,"Levallois-Perret, France",170,Ambition box,15000,www.geodis.com,1904
Amazon Distribution,41500,India,Logistics & Transportation,Medium,"Seattle, USA",1000,Ambition box,15000,www.amazon.com,1994
Techmihirnaik group,500,India,Logistics & Transportation,Low,"Pune, India",3,Ambition box,200,www.techmihirnaik.com,2019
Transworld Group of Companies,166,India,Logistics & Transportation,Low,"Dubai, UAE",30,Ambition box,15000,www.transworld.com,1977
ShipBob,41500,India,Logistics & Transportation,Low,"Chicago, USA",10,Ambition box,2500,www.shipbob.com,2014
LPS Bossard,4521,India,Logistics & Transportation,High,"Rohtak, Haryana, India",75,Ambition box,108,https://www.bossard.com/in-en,1831
North West Carrying Co.,2111,India,Logistics & Transportation,Medium,"Gurgaon, Haryana, India",28,Ambition box,5000,http://www.nwccindia.com,1998
Gateway Distriparks,15270,India,Logistics & Transportation,Medium,"Mumbai, Maharashtra, India",10,Ambition box,2500,https://gatewaydistriparks.com,1994
Diptab Ventures,560,India,Logistics & Transportation,Medium,"Bengaluru, Karnataka, India",1,Ambition box,168,https://www.letstransport.in,2015
Parekh Group,800,India,Logistics & Transportation,Medium,India (HQ unspecified),15,Ambition box,1000,https://www.parekhgroup.in,2012
Freight Tiger,705,India,Logistics & Transportation,Low,"Mumbai, Maharashtra, India",1,Ambition box,300,https://www.freighttiger.com,2014
Surat Goods Transport,8300,India,Logistics & Transportation,High,Surat,250,Ambition box,15000,sgtpl.com,1960
TM International Logistics,20750,India,Logistics & Transportation,Medium,Kolkata,20,Ambition box,1200,tmilltd.com,2002
Bothra Group,24900,India,Logistics & Transportation,Medium,Visakhapatnam,25,Ambition box,3500,bothragroup.com,1977
Drive India Enterprise Solutions Limited (DIESL),41500,India,Logistics & Transportation,Low,Mumbai,100,Ambition box,15000,diesl.in,2003
Liladhar Pasoo,8300,India,Logistics & Transportation,Medium,Mumbai,15,Ambition box,1000,liladharpasoo.com,1926
Seaways Shipping Logistics,20750,India,Logistics & Transportation,Low,Mumbai,30,Ambition box,25000,seawaysindia.com,1989
Solaimalai Enterprises,2075,India,Logistics & Transportation,High,Madurai,20,Ambition box,500,solaimalai.com,1989
Rcpl Logistics,5810,India,Logistics & Transportation,Low,Mumbai,60,Ambition box,1000,rcplindia.com,1992
Cargomen Logistics,4150,India,Logistics & Transportation,Low,Chennai,10,Ambition box,800,cargomen.com,2000
Fleeca India,1245,India,Logistics & Transportation,High,Jaipur,5,Ambition box,300,fleeca.in,2016
Catbus Infolabs,1660,India,Logistics & Transportation,Low,Bangalore,7,Ambition box,250,whistledrive.com,2016
Teamglobal Logistics,16600,India,Logistics & Transportation,Low,Mumbai,30,Ambition box,1000,teamglobal.in,2005
DGS Translogistics India,5810,India,Logistics & Transportation,High,New Delhi,50,Ambition box,900,dgstransport.com,1992
Supreme Group,8300,India,Logistics & Transportation,High,Chennai,40,Ambition box,1200,supremelogistics.com,1996
Driver Logistics,2490,India,Logistics & Transportation,High,Kochi,15,Ambition box,400,driverlogistics.in,2019
UDAAN CARGO & LOGISTICS,16600,India,Logistics & Transportation,Low,Mumbai,100,Ambition box,3500,udaan.com,2016
Navkar Corporation,12450,India,Logistics & Transportation,Medium,Mumbai,10,Ambition box,"2,000",navkarcorporation.com,2007
FIT 3PL Warehousing,2490,India,Logistics & Transportation,Medium,Mumbai,12,Ambition box,500,fit3pl.com,2010
Swamy Sons Agencies,1660,India,Logistics & Transportation,Low,Chennai,5,Ambition box,200,swamysons.com,1991
Dexters Logistics,2075,India,Logistics & Transportation,Medium,Mumbai,10,Ambition box,400,dexters.in,2009
Hansol Logistics,4980,India,Logistics & Transportation,Low,Mumbai,8,Ambition box,500,hansollogistics.com,2006
TruKKer,4150,India,Logistics & Transportation,High,Gurugram,12,Ambition box,800,trukker.com,2016
Sindhu Cargo Services,6640,India,Logistics & Transportation,High,Bangalore,15,Ambition box,1000,sindhucargo.com,1987
Avinash Cargo,2490,India,Logistics & Transportation,Low,Mumbai,15,Ambition box,600,avinashcargo.com,1995
Yamato Logistics,8300,India,Logistics & Transportation,High,Mumbai,10,Ambition box,700,yamatoindia.com,2007
Uniworld Logistics,16600,India,Logistics & Transportation,Low,Bangalore,25,Ambition box,1200,uniworldlogistics.com,2002
Matson,3420,United States,Logistics & Supply chain,Medium,"Honolulu, Hawaii, USA",5,ocean.io,5000,https://www.matson.com/,1882
Stord,62250,United States,Logistics & Supply chain,High,"Atlanta, Georgia, USA",2,ocean.io,200,https://www.stord.com/,2018
Port of Los Angeles,58681,United States,Logistics & Supply chain,Low,"San Pedro, California",3,ocean.io,1000,https://www.portoflosangeles.org/,1907
Mentum,4492,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,10,http://getmentum.com,2021
Nash,316,United States,Logistics & Supplychain,Medium,San Francisco,2,ycombinator.com,40,https://www.usenash.com/,2021
Optimal Dynamics,1245,United States,Logistics & Supplychain,Medium,"New York, NY",2,ycombinator.com,200,https://optimaldynamics.com,2014
Augment (Augie),546,United States,Logistics & Supplychain,Low,"Chicago, IL & San Francisco, CA",1,ycombinator.com,50,https://goaugment.com,2024
Swap,720,United States,Logistics & Supplychain,Low,USA,3,ycombinator.com,50,https://www.swap-asia.com,2012
FourKites,9486,United States,Logistics & Supplychain,High,"Chicago, IL",2,ycombinator.com,50,https://www.fourkites.com,2014
Shipwell,2905,United States,Logistics & Supplychain,High,"Austin, TX",1,ycombinator.com,200,https://www.shipwell.com,2016
ShipBob,62250,United States,Logistics & Supplychain,High,"Chicago, IL",3,ycombinator.com,1,http://shipbob.com,2014
GrubMarket,1660,United States,Logistics & Supplychain,Medium,San Francisco,2,ycombinator.com,4548,http://grubmarket.com,2014
Flexport,2158,United States,Logistics & Supplychain,High,San Francisco,1,ycombinator.com,3000,https://www.flexport.com/careers/jobs/,2013
Gatik,24319,United States,Logistics & Supplychain,Medium,"Palo Alto, CA",5,ocean.io,200,https://gatik.ai,2017
Pickle Robot,623,United States,Logistics & Supplychain,Low,USA,1,ocean.io,200,https://picklerobot.com,2012
Freightos,118,United States,Logistics & Supplychain,Medium,USA / Hong Kong,2,ocean.io,500,https://www.freightos.com,2012
GreyOrange,293,United States,Logistics & Supplychain,Medium,USA (global HQ),1,ocean.io,200,https://www.greyorange.com,2011
Kodiak Robotics,6557,United States,Logistics & Supplychain,High,"Mountain View, CA",1,ocean.io,500,https://kodiak.ai,2018
Plus One Robotics,2905,United States,Logistics & Supplychain,Medium,"San Antonio, TX",1,ocean.io,200,https://plusonerobotics.com,2016
Nuro,62250,United States,Logistics & Supplychain,High,"Mountain View, CA",1,ocean.io,1000,https://nuro.ai,2016
Transmetrics,2988,United States,Logistics & Supplychain,Low,USA / EU,1,ocean.io,200,https://transmetrics.ai,2014
Attabotics,1577,United States,Logistics & Supplychain,Medium,"Calgary, Canada (serves U.S.)",1,ocean.io,500,https://attabotics.com,2016
Frayt,1394,United States,Logistics & Supply chain,Low,"Cincinnati, Ohio",2,ocean.io,50,https://www.frayt.com/,2017
Toyota Tsusho America,6225,United States,Logistics & Supply chain,Low,"New York, New York",2,apollo.io,"1,200",http://www.taiamerica.com/,1953
Tompkins Solutions,323,United States,Logistics & Supply chain,Medium,"Orlando, Florida",1,apollo.io,110,http://www.tompkinsinc.com/,1975
Amware Fulfillment (now part of Staci),7976,United States,Logistics & Supply chain,Medium,"Lawrenceville, Georgia",6,apollo.io,1000,http://www.staciamericas.com/,1989
Descartes MyCarrierPortal,13562,United States,Logistics & Supply chain,Low,"Simi Valley, California",1,apollo.io,11,http://www.mycarrierportal.com/,2012
PopCapacityÂ®,5,United States,Logistics & Supply chain,Low,"Alpharetta, Georgia",1,apollo.io,7,http://www.popcapacity.com/,2020
Augment,2490,United States,Logistics & Supply chain,Low,"San Francisco, California",6,apollo.io,70,http://www.goaugment.com/,2024
LoadProof by Smart Gladiator,315,United States,Logistics & Supply chain,Medium,"Atlanta, Georgia",2,apollo.io,69,http://www.loadproof.com/,2013
dexFreight,57,United States,Logistics & Supply chain,Medium,"Sunrise, Florida",1,apollo.io,30,http://www.dexfreight.io/,2017
Upwell,12,United States,Logistics & Supply chain,Low,"Omaha, Nebraska",1,apollo.io,33,http://www.upwell.com/,2017
aThingz,18,United States,Logistics & Supply chain,Low,"Southfield, Michigan",3,apollo.io,200,http://www.athingz.com/,2012
Freespace Robotics,9428,United States,Logistics & Supply chain,Low,"Springdale, Pennsylvania",2,apollo.io,6,http://www.freespacerobotics.com/,2021
Autobon AI,3,United States,Logistics & Supply chain,Low,"Chicago, Illinois",1,apollo.io,4,http://www.autobon.ai/,2016
Sage Inventory Advisor,2,United States,Logistics & Supply chain,Low,"Denver, Colorado",4,apollo.io,50,http://www.inventoryadvisor.co/,2010
Chainalytics Australia Pty Ltd previously Logiworx,4,United States,Logistics & Supply chain,Low,"Atlanta, Georgia",1,apollo.io,50,http://www.chainalytics.com/,2014
Matrix Intralogistics,2,United States,Logistics & Supply chain,Low,"Cumming, Georgia",1,apollo.io,50,http://www.matrixil.com/,2024
Project Auxo,6,United States,Logistics & Supply chain,Low,"Long Beach, California",1,apollo.io,10,http://www.projectauxo.io/,2021
Movley,5,United States,Logistics & Supplychain,High,New York,1,ycombinator.com,8,https://movley.com/,2022
DGI Apparel,5,United States,Logistics & Supplychain,Medium,New York,6,ycombinator.com,4,https://www.dgiapparel.com/,2023
Trackstar,2.6,United States,Logistics & Supplychain,High,New York,1,ycombinator.com,6,https://www.trackstarhq.com/,2021
Coperniq,2,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,6,https://coperniq.io,2021
Vooma,3.4,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,3,https://www.vooma.ai,2022
Conduit,5,United States,Logistics & Supplychain,High,San Francisco,1,ycombinator.com,6,http://helloconduit.com,2023
FleetWorks,4.4,United States,Logistics & Supplychain,Medium,San Francisco,3,ycombinator.com,8,https://fleetworks.ai,2023
Guac,1.1,United States,Logistics & Supplychain,Low,New York,1,ycombinator.com,6,https://www.guac-ai.com/,2023
HappyRobot,1.8,United States,Logistics & Supplychain,Medium,San Francisco,1,ycombinator.com,45,https://happyrobot.ai,2022
Poka Labs,0.5,United States,Logistics & Supplychain,High,San Francisco,1,ycombinator.com,3,https://www.pokalabs.com/,2023
Manifold Freight,1,United States,Logistics & Supplychain,Low,"Seattle, WA",1,ycombinator.com,3,https://www.manifoldfreight.com/,2024
Forge,4.5,United States,Logistics & Supplychain,Medium,San Francisco,4,ycombinator.com,3,https://www.forgehq.com/,2023
Indemni,4.5,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,4,http://www.indemni.com,2024
Pax,0.5,United States,Logistics & Supplychain,Medium,San Francisco,3,ycombinator.com,6,https://paxai.com/,2024
Distro,3.8,United States,Logistics & Supplychain,Low,Palo Alto,1,ycombinator.com,11,https://distro.app,2022
Soff,0.125,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,3,https://soff.ai,2024
Cartage,4.13,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,8,https://cartage.ai,2023
Oway,124.5,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,9,https://www.shipoway.com,2023
Terra,0.5,United States,Logistics & Supplychain,Medium,New York,1,ycombinator.com,6,https://useterra.com/,2024
Getcho,0.5,United States,Logistics & Supplychain,Medium,New York,1,ycombinator.com,3,https://getcho.app/,2022
General Trajectory,0.5,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,1,https://www.generaltrajectory.com/,2024
Kanava AI,0.5,United States,Logistics & Supplychain,Medium,San Francisco,1,ycombinator.com,2,https://kanava.ai/,2025
Hemut,1,United States,Logistics & Supplychain,Low,San Francisco,"4,338",ycombinator.com,3,https://www.hemut.com/,2024
Viaopt,110,United States,Logistics & Supplychain,Medium,San Francisco,1,ycombinator.com,2,http://www.viaopt.com,2017
Drivingforce,0,United States,Logistics & Supplychain,Inactive,San Francisco,30,ycombinator.com,2,https://www.drivingforce.co/,2022
Keychain Logistics,18,United States,Logistics & Supplychain,Medium,San Francisco,1,ycombinator.com,2,http://keychainlogistics.com,2011
Swish,18,United States,Logistics & Supplychain,Medium,Palo Alto,6,ycombinator.com,2,http://swish.com,2013
Pakible,2.5,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,3,https://pakible.com,2014
Shotput,0.12,United States,Logistics & Supplychain,Low,"Oakland, CA",3,ycombinator.com,4,http://theshotput.com,2014
Maderight,1.5,United States,Logistics & Supplychain,Low,San Mateo,3,ycombinator.com,51,http://maderight.com,2014
WorkClout,0.588,United States,Logistics & Supplychain,Medium,Los Angeles,1,ycombinator.com,6,https://www.workclout.com,2018
Terusama,0.196,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,2,https://velostics.com,2019
Rickshaw,0.432,United States,Logistics & Supplychain,Medium,San Francisco,4,ycombinator.com,11,http://gorickshaw.com,2013
Lumi,6.9,United States,Logistics & Supplychain,High,Los Angeles,13,ycombinator.com,67,https://www.lumi.com,2014
Vetcove,26.6,United States,Logistics & Supplychain,High,"Miami, FL",3,ycombinator.com,83,https://www.vetcove.com,2015
Sorting Robotics,6.4,United States,Logistics & Supplychain,Low,"Los Angeles, CA",1,ycombinator.com,12,https://www.sortingrobotics.com/,2018
Nabis,22.1,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,300,https://www.nabis.com/,2018
Factored Quality,1.5,United States,Logistics & Supplychain,Low,New York,1,ycombinator.com,20,https://www.factoredquality.com/,2021
TrueNorth,4.3,United States,Logistics & Supplychain,Medium,San Francisco,15,ycombinator.com,60,http://www.truenorthfleet.com,2019
Response,25.6,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,8,https://www.tryresponse.com/,2019
Zeo Route Planner,2.3,United States,Logistics & Supplychain,Medium,San Francisco,1,ycombinator.com,15,https://zeorouteplanner.com,2019
BeGo,0,United States,Logistics & Supplychain,Inactive,San Francisco,1,ycombinator.com,65,http://www.bego.ai,2019
Bulk MRO Industrial Supply,15.5,United States,Logistics & Supplychain,Medium,New York,3,ycombinator.com,170,http://www.bulkmro.com,2015
Flowspace,7.7,United States,Logistics & Supplychain,Low,Los Angeles,2,ycombinator.com,48,http://www.flow.space,2017
BlueCargo,3.2,United States,Logistics & Supplychain,Medium,"Los Angeles, CA",1,ycombinator.com,35,http://www.bluecargo.io/,2018
arnata,6.5,United States,Logistics & Supplychain,Low,San Francisco,2,ycombinator.com,15,https://arnata.com,2021
Javelin Robotics,1,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,5,https://javelinrobotics.com,2020
LogisticsOS,0.75,United States,Logistics & Supplychain,Medium,"Ontario, CA",1,ycombinator.com,6,https://logisticsos.com,2020
Jiga,6.5,United States,Logistics & Supplychain,Medium,San Francisco,2,ycombinator.com,15,https://jiga.io,2020
Amazon Logistics,1,United States,E-commerce & Delivery,High,"Seattle, WA",100,ocean.io,10000,https://www.amazon.com,1994
UPS,100000,United States,Parcel Delivery & Supply Chain,Low,"Atlanta, GA",1000,ocean.io,"5,00,000",https://www.ups.com,1907
FedEx,94000,United States,Delivery & Freight Logistics,Low,"Memphis, TN","3,300",ocean.io,"6,00,000",https://www.fedex.com,1971
DHL Supply Chain (US),1,United States,"3PL, Warehousing, Freight",Medium,"Plantation, FL",260,ocean.io,"2,60,000",https://www.dhl.com,1969
Uber Freight,,United States,Digital Freight Brokerage,High,"San Francisco, CA",1,ocean.io,"5,000",https://freight.uber.com,2017
GXO Logistics,10000,United States,Contract Logistics & Warehousing,High,"Greenwich, CT","1,030",ocean.io,"1,52,000",https://www.gxo.com,2021
C.H. Robinson,24000,United States,Freight Brokerage & 3PL,Medium,"Eden Prairie, MN",300,ocean.io,"16,000",https://www.chrobinson.com,1905
Convoy,1,United States,Digital Freight & Sustainability,Inactive,"Seattle, WA",,ocean.io,"1,000",https://www.convoy.com,2015
Loadsmart,1000,United States,Digital Freight Brokerage,High,"New York, NY",,ocean.io,600,https://www.loadsmart.com,2014
Blue Yonder,1500,United States,Supply Chain Software,Medium,"Scottsdale, AZ",10,ocean.io,"5,000",https://www.blueyonder.com,1985
Instacart,25000,United States,"Supply chain, logistics, & delivery",High,San Francisco,85000,ocean.io,1500,https://www.instacart.com/,2012
JUUL Labs,13000,United States,Consumer & retail,Low,San Francisco,11,ocean.io,1000,https://www.juul.com/,2015
Impossible Foods,700,United States,Consumer & retail,Medium,Redwood City,4,ocean.io,600,https://impossiblefoods.com/,2011
Via,300,United States,Auto & transportation,Medium,New York,750,ocean.io,3000,https://www.viabus.com/,2012
Weee!,500,United States,"Supply chain, logistics, & delivery",Medium,Fremont,1,ocean.io,2000,https://www.sayweee.com/,2015
Zipline,100,United States,"Supply chain, logistics, & delivery",High,South San Francisco,7,ocean.io,1000,https://flyzipline.com/,2014
KeepTruckin,300,United States,"Supply chain, logistics, & delivery",Medium,San Francisco,8,ocean.io,1000,https://keeptruckin.com/,2013
Zume,1,United States,Consumer & retail,Low,Mountain View,1,ocean.io,500,https://www.zumeglobal.com/,2015
Quanergy Systems,50,United States,Auto & transportation,Low,Sunnyvale,1,ocean.io,500,https://quanergy.com/,2012
Calm,200,United States,Consumer & retail,Medium,San Francisco,5,ocean.io,150,https://www.calm.com/,2012
ISN,400,United States,"Supply chain, logistics, & delivery",Low,Dallas,13,ocean.io,1000,https://isn.com/,2001
Deliverr,200,United States,"Supply chain, logistics, & delivery",Medium,San Francisco,3,ocean.io,1000,https://www.deliverr.com/,2017
Harry's Razor Company,400,United States,Consumer & retail,Medium,New York,3,ocean.io,500,https://www.harrys.com/,2013
Flock Freight,120,United States,"Supply chain, logistics, & delivery",Medium,Encinitas,2,ocean.io,200,https://www.flockfreight.com/,2015
ezCater,300,United States,"Supply chain, logistics, & delivery",Medium,Boston,2,ocean.io,1000,https://www.ezcater.com/,2007
Fair,600,United States,Auto & transportation,High,Santa Monica,1,ocean.io,1000,https://www.fair.com/,2017
Glossier,188,United States,Consumer & retail,Medium,New York,3,ocean.io,500,https://www.glossier.com/,2014
Project44,250,United States,"Supply chain, logistics, & delivery",Medium,Chicago,17,ocean.io,1000,https://www.project44.com/,2014
Eat Just,300,United States,Consumer & retail,Medium,San Francisco,3,ocean.io,1000,https://www.eatjust.com/,2011
Proterra,320,United States,"Supply chain, logistics, & delivery",Low,Burlingame,2,ocean.io,500,https://www.proterra.com/,2004
Kendra Scott,300,United States,Consumer & retail,Medium,Austin,1,ocean.io,500,https://www.kendrascott.com/,2002
Pat McGrath Labs,100,United States,Consumer & retail,Low,New York,2,ocean.io,1000,https://www.patmcgrath.com/,2015
REEF Technology,450,United States,"Supply chain, logistics, & delivery",Low,Miami,1,ocean.io,200,https://reeftechnology.com/,2013
Skydio,95,United States,"Supply chain, logistics, & delivery",High,Redwood City,3,ocean.io,1000,https://www.skydio.com/,2014
Shippo,87,United States,"Supply chain, logistics, & delivery",Medium,San Francisco,3,ocean.io,500,https://goshippo.com/,2013
Fabric,80,United States,"Supply chain, logistics, & delivery",Low,New York,4,ocean.io,20,https://www.fabric.inc/,2017
